AssetId,AssetType,Latitude,Longitude,AgeYears,LastInspectionMonthsAgo,TemperatureC,WindSpeedKph,PrecipitationMm,FireWeatherIndex,NeedsMaintenance
A001,Pole,37.9101,-122.0652,15,24,32,45,0,55,true
A002,Transformer,37.9050,-122.0700,3,6,18,10,2,10,false
A003,Meter,37.8990,-122.0610,20,36,38,60,0,70,true
A004,Pole,37.9120,-122.0580,5,3,15,5,10,5,false
A005,Transformer,37.9200,-122.0500,18,30,35,50,0,60,true
A006,Meter,37.9000,-122.0650,2,2,20,8,3,12,false
A007,Pole,37.9080,-122.0620,25,40,40,70,0,75,true
A008,Transformer,37.9150,-122.0550,4,5,16,6,5,8,false
A009,Meter,37.9030,-122.0680,12,20,33,55,0,58,true
A010,Pole,37.9060,-122.0600,1,1,14,4,8,6,false
